treatment	block	field	parc	date	DM_kgTS/ha	pct_N	pct_grass	pct_clover	grassDM	cloverDM	grassN	cloverN	
4	1	IND	10	06-06-2006	4552	2.00	94.20	5.80	4.288	0.264	85.679	5.277	
4	1	IND	12	06-06-2006	5766	1.50	98.56	1.44	5.683	0.083	85.102	1.241	
4	1	IND	10	12-07-2006	2610	2.80	74.37	25.63	1.941	0.669	54.376	18.741	
4	1	IND	12	12-07-2006	2478	2.73	84.10	15.90	2.084	0.394	56.929	10.766	
4	1	IND	10	23-08-2006	2011	3.04	50.82	49.18	1.022	0.989	31.015	30.010	
4	1	IND	12	23-08-2006	1930	3.19	52.72	47.28	1.018	0.913	32.413	29.067	
4	1	IND	10	11-10-2006	1483	3.86	59.49	40.51	0.882	0.601	34.055	23.194	
4	1	IND	12	11-10-2006	1541	3.57	58.50	41.50	0.902	0.640	32.216	22.853	
4	1	IND	10	24-05-2007	3774	2.70	58.32	41.68	2.201	1.573	59.426	42.475	
4	1	IND	12	24-05-2007	4207	2.41	59.06	40.94	2.484	1.722	59.820	41.469	
4	1	IND	10	03-07-2007	3492	3.16	65.43	34.57	2.284	1.207	72.098	38.097	
4	1	IND	12	03-07-2007	3396	3.07	52.22	47.78	1.773	1.623	54.458	49.829	
4	1	IND	10	07-08-2007	3095	3.02	53.97	46.03	1.671	1.425	50.476	43.042	
4	1	IND	12	07-08-2007	3088	2.93	51.53	48.47	1.591	1.497	46.656	43.878	
4	1	IND	10	16-10-2007	1885	2.91	70.30	26.96	1.325	0.508	38.555	14.787	
4	1	IND	12	16-10-2007	1753	3.43	73.81	23.95	1.294	0.420	44.330	14.386	
4	1	IND	10	27-05-2008	5984	1.90	94.91	5.09	5.679	0.304	108.075	5.793	
4	1	IND	12	27-05-2008	6110	1.78	97.27	2.73	5.943	0.167	105.663	2.960	
4	1	IND	10	08-07-2008	3907	2.16	95.45	4.55	3.729	0.178	80.387	3.831	
4	1	IND	12	08-07-2008	3058	2.27	91.20	8.80	2.789	0.269	63.231	6.101	
4	1	IND	10	19-08-2008	1920	2.64	76.42	22.61	1.467	0.434	38.778	11.473	
4	1	IND	12	19-08-2008	1967	3.36	72.76	19.99	1.431	0.393	48.086	13.212	
4	1	IND	10	14-10-2008	1299	2.87	88.38	8.65	1.148	0.112	32.907	3.222	
4	1	IND	12	14-10-2008	1675	3.17	68.17	20.51	1.142	0.344	36.208	10.896	
4	1	IND	10	19-05-2009	5222	1.62	91.78	2.54	4.792	0.133	77.643	2.152	
4	1	IND	12	19-05-2009	5257	1.83	77.95	12.12	4.098	0.637	75.189	11.687	
4	1	IND	10	06-07-2009	2918	2.13	80.83	11.86	2.359	0.346	50.129	7.355	
4	1	IND	12	06-07-2009	3066	2.27	64.97	28.39	1.992	0.870	45.237	19.764	
